ms,speed,elevation,temperature,cadence,power,distance,positionLat,positionLong
107.0,6.774,189.0,844.8,35.0,72.0,1475.44,44.56111,6.48904
106.0,6.961,123.0,845.0,35.0,77.0,1482.4,44.56115,6.4891
106.0,7.063,137.0,845.2,35.0,86.0,1489.49,44.5612,6.48917
106.0,7.185,112.0,845.4,35.0,92.0,1496.68,44.56124,6.48924
105.0,7.203,87.0,845.6,35.0,93.0,1503.94,44.561279999999996,6.48931
105.0,7.25,111.0,845.6,35.0,93.0,1511.33,44.56133,6.48938
105.0,7.185,64.0,845.8,35.0,85.0,1518.65,44.56137,6.48945
104.0,7.287,82.0,845.8,35.0,83.0,1526.03,44.56141,6.48951
104.0,7.325,104.0,845.8,35.0,84.0,1533.52,44.56146,6.48958
104.0,7.287,172.0,845.8,35.0,83.0,1541.06,44.5615,6.48965
103.0,7.371,223.0,845.8,35.0,83.0,1548.62,44.56155,6.48972
103.0,7.343,247.0,846.0,35.0,83.0,1556.12,44.5616,6.48979
103.0,7.269,168.0,846.0,35.0,85.0,1563.55,44.56165,6.48986
103.0,7.138,189.0,846.0,35.0,91.0,1570.8,44.56169,6.48992
102.0,7.073,240.0,846.0,35.0,91.0,1577.98,44.56173,6.48999
102.0,7.082,236.0,846.0,35.0,91.0,1585.13,44.56178,6.49006
102.0,6.914,178.0,846.0,35.0,89.0,1592.22,44.56182,6.49012
102.0,6.821,227.0,846.0,35.0,87.0,1599.16,44.56186,6.49019
102.0,6.718,286.0,846.2,35.0,87.0,1606.03,44.5619,6.49025
103.0,6.643,201.0,846.2,35.0,90.0,1612.73,44.56195,6.49031
103.0,6.522,145.0,846.4,35.0,93.0,1619.4,44.56199,6.49037
103.0,6.354,183.0,846.4,35.0,91.0,1625.97,44.56203,6.49043
103.0,6.261,198.0,846.6,35.0,90.0,1632.37,44.56207,6.49049
103.0,6.186,170.0,846.8,35.0,89.0,1638.6,44.56211,6.49055
103.0,6.102,213.0,846.8,35.0,92.0,1644.74,44.56214,6.49061
103.0,6.0,270.0,847.2,35.0,96.0,1650.84,44.56218,6.49066
104.0,6.158,312.0,847.4,35.0,98.0,1657.0,44.56221,6.49072
104.0,6.28,325.0,847.6,35.0,99.0,1663.23,44.56225,6.49078
105.0,6.289,301.0,847.8,35.0,99.0,1669.56,44.56229,6.49084
105.0,6.317,234.0,848.0,36.0,101.0,1675.84,44.56233,6.4909
106.0,6.336,192.0,848.2,36.0,101.0,1682.17,44.56237,6.49096
106.0,6.158,145.0,848.6,36.0,98.0,1688.44,44.5624,6.49102
107.0,6.056,111.0,848.8,36.0,96.0,1694.51,44.56244,6.49108
107.0,5.906,145.0,849.0,36.0,94.0,1700.54,44.56247,6.49114
106.0,5.953,282.0,849.2,36.0,95.0,1706.48,44.5625,6.49119
106.0,6.401,258.0,849.4,36.0,99.0,1712.75,44.56254,6.49125
106.0,6.718,208.0,849.8,36.0,95.0,1719.4,44.56258,6.49131
105.0,7.185,217.0,850.2,36.0,94.0,1726.35,44.56263,6.49138
105.0,7.623,220.0,850.4,36.0,86.0,1733.79,44.56268,6.49144
105.0,8.146,240.0,850.6,36.0,91.0,1741.78,44.56273,6.49152
